label,method,family,algorithm,fit_match_reference_implementation,extract_match_reference_implementation,approx_min_span_tree,k,fit_seconds,extract_seconds,total_seconds,fit_seconds_std,extract_seconds_std,total_seconds_std,repetitions,n_clusters_found,n_samples,n_features,centers,seed,k_max
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,50,47.832964409841225,2.2926577366888522e-05,47.83298733641859,1.2513724229666334,5.131051966158626e-06,1.251372422977153,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,49,47.832964409841225,35.201376913899246,83.03434132374048,1.2513724229666334,1.3911254251239125,1.871139462837436,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,48,47.832964409841225,35.38022448775203,83.21318889759326,1.2513724229666334,1.2647540740408225,1.7791952699926563,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,47,47.832964409841225,35.562318308247875,83.3952827180891,1.2513724229666334,1.2974650789687596,1.8025949550869136,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,46,47.832964409841225,35.26506828647107,83.09803269631229,1.2513724229666334,1.5336969243221468,1.9794340596838775,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,45,47.832964409841225,35.17967067154435,83.01263508138558,1.2513724229666334,1.1774821828261892,1.7182541231827468,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,44,47.832964409841225,35.33188866488636,83.16485307472757,1.2513724229666334,1.749081340257484,2.150632110752162,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,43,47.832964409841225,35.421338809560986,83.2543032194022,1.2513724229666334,1.2341300764724115,1.7575579610969259,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,42,47.832964409841225,35.27107048976856,83.10403489960979,1.2513724229666334,1.5576891966993047,1.998081223192668,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,41,47.832964409841225,35.6205257075994,83.45349011744062,1.2513724229666334,1.2270170265931486,1.7525706047149354,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,40,47.832964409841225,35.589168025398,83.42213243523923,1.2513724229666334,1.224193251103889,1.750594772358724,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,39,47.832964409841225,35.424694011236234,83.25765842107745,1.2513724229666334,1.4527833756002586,1.9174233954403146,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,38,47.832964409841225,35.44259485398264,83.27555926382387,1.2513724229666334,1.4763812481618606,1.9353641855954027,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,37,47.832964409841225,35.55550010801138,83.38846451785261,1.2513724229666334,1.2081245481759582,1.739395833290038,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,36,47.832964409841225,35.804391935677266,83.6373563455185,1.2513724229666334,1.239793789735413,1.7615395488117433,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,35,47.832964409841225,35.772006861609405,83.60497127145064,1.2513724229666334,1.3124542808189195,1.813413681486188,30,10,90000,20,10,42,50
core_sg_cython,ScoreSG_extractMatchRef_true,ScoreSG,score_sg,,True,False,34,47.832964409841225,35.89936289201335,83.73232730185458,1.2513724229666334,1.2062773827188042,1.7381133636849788,30,10,90000,20,10,42,50
